Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price
1/4/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,492",1.14
1/4/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,973,1.39
1/4/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,252,1.37
1/4/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,35,2.19
1/4/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,6,1.79
1/11/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"13,014",0.96
1/11/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,21,1.24
1/11/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,099",1.57
1/11/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,121,1.1
1/11/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,6,1.69
1/11/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,5,1.5
1/18/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,873",1.09
1/18/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"2,199",1.81
1/18/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,474,1.3
1/18/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,80,1.31
1/25/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"9,879",1.05
1/25/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,836,2.09
1/25/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,149,1.33
1/25/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,14,1.26
2/1/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"19,623",0.83
2/1/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,21,0.77
2/1/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,947",1.48
2/1/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,396,0.97
2/1/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,117,1.11
2/8/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,616",1.18
2/8/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,617",1.75
2/8/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,91,0.81
2/8/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,18,0.98
2/8/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,7,0.99
2/15/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"9,190",1.1
2/15/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,11,1.4
2/15/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,417",1.47
2/15/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,75,1.2
2/15/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,9,1.29
2/22/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,857",1.08
2/22/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,16,0.79
2/22/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,857,1.45
2/22/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,480,1.12
2/22/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,35,2.99
2/22/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,201,1.97
3/1/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"11,872",1.03
3/1/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,6,0.88
3/1/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,816,1.43
3/1/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,82,1.98
3/1/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,139,1.27
3/8/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,667",1.12
3/8/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,383",1.43
3/8/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,226,1.2
3/8/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,35,2.99
3/15/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,479",1.01
3/15/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,123,0.97
3/15/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,050",1.2
3/15/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,218,0.77
3/15/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,44,1.89
3/15/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,9,1.29
3/22/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"12,303",1.02
3/22/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,763,1.24
3/22/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,587,1.11
3/22/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,192,1.16
3/29/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"11,264",1.04
3/29/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,373",1.54
3/29/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,490,1.34
3/29/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,35,2.79
4/5/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"13,029",0.94
4/5/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,19,0.82
4/5/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,808",1.39
4/5/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,267,0.96
4/5/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,16,1.27
4/12/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,128",1.1
4/12/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,936",1.42
4/12/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,19,1.17
4/12/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,35,1.99
4/12/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,185,1.16
4/19/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"2,306",1.67
4/19/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,576,1.55
4/19/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,28,1.46
4/19/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,35,2.79
4/19/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,192,1.88
4/26/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"3,728",1.33
4/26/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,771,2.32
4/26/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,60,1.6
4/26/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,3,2.97
4/26/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,35,1.99
5/3/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"16,151",1.2
5/3/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,382",1.89
