week_day,date,temp_low1,time1,temp_high1,temp_low2,time2,temp_high2,temp_low3,time3,temp_high3,temp_low4,time4,temp_high4
Tue, Jan 1,57,12am,61,57,6am,63,57,12pm,63,52,6pm,54
Wed, Jan 2,48,12am,52,48,6am,54,52,12pm,54,50,6pm,52
Thu, Jan 3,50,12am,52,50,6am,54,54,12pm,54,54,6pm,55
Fri, Jan 4,55,12am,63,48,6am,63,46,12pm,50,43,6pm,46
Sat, Jan 5,39,12am,43,39,6am,55,52,12pm,61,41,6pm,46
Sun, Jan 6,37,12am,39,36,6am,61,54,12pm,66,43,6pm,52
Mon, Jan 7,43,12am,46,46,6am,64,61,12pm,68,59,6pm,61
Tue, Jan 8,57,12am,61,57,6am,66,63,12pm,70,52,6pm,61
Wed, Jan 9,43,12am,48,43,6am,52,46,12pm,54,37,6pm,43
Thu, Jan 10,30,12am,36,30,6am,43,37,12pm,46,28,6pm,36
Fri, Jan 11,27,12am,30,27,6am,48,45,12pm,54,45,6pm,48
Sat, Jan 12,46,12am,48,48,6am,52,48,12pm,52,48,6pm,48
Sun, Jan 13,46,12am,52,45,6am,52,45,12pm,50,43,6pm,45
Mon, Jan 14,39,12am,41,39,6am,43,39,12pm,43,37,6pm,39
Tue, Jan 15,37,12am,39,37,6am,39,39,12pm,41,30,6pm,37
Wed, Jan 16,28,12am,30,28,6am,48,45,12pm,54,36,6pm,43
Thu, Jan 17,34,12am,41,41,6am,48,48,12pm,50,48,6pm,52
Fri, Jan 18,52,12am,52,48,6am,55,55,12pm,61,52,6pm,54
Sat, Jan 19,54,12am,57,57,6am,64,57,12pm,64,36,6pm,54
Sun, Jan 20,32,12am,34,32,6am,34,32,12pm,37,28,6pm,32
Mon, Jan 21,23,12am,27,21,6am,37,39,12pm,43,36,6pm,37
Tue, Jan 22,36,12am,37,37,6am,52,50,12pm,54,52,6pm,54
Wed, Jan 23,54,12am,55,57,6am,61,54,12pm,59,43,6pm,54
Thu, Jan 24,34,12am,39,34,6am,37,39,12pm,45,36,6pm,37
Fri, Jan 25,27,12am,34,28,6am,43,43,12pm,48,28,6pm,37
Sat, Jan 26,27,12am,28,30,6am,50,45,12pm,52,36,6pm,41
Sun, Jan 27,32,12am,34,32,6am,52,46,12pm,55,36,6pm,43
Mon, Jan 28,36,12am,41,36,6am,57,57,12pm,61,54,6pm,55
Tue, Jan 29,34,12am,48,30,6am,36,32,12pm,39,25,6pm,30
Wed, Jan 30,21,12am,25,21,6am,39,37,12pm,43,27,6pm,36
Thu, Jan 31,27,12am,34,28,6am,50,46,12pm,55,36,6pm,45
Fri, Feb 1,41,12am,45,37,6am,57,54,12pm,63,41,6pm,50
Sat, Feb 2,39,12am,46,39,6am,64,63,12pm,70,55,6pm,63
Sun, Feb 3,50,12am,55,52,6am,66,63,12pm,72,54,6pm,61
Mon, Feb 4,55,12am,55,55,6am,61,61,12pm,66,63,6pm,64
Tue, Feb 5,61,12am,63,61,6am,66,68,12pm,70,64,6pm,66
Wed, Feb 6,64,12am,66,66,6am,73,72,12pm,75,68,6pm,72
Thu, Feb 7,66,12am,68,66,6am,75,73,12pm,77,57,6pm,73
Fri, Feb 8,43,12am,55,41,6am,45,41,12pm,48,37,6pm,41
Sat, Feb 9,34,12am,36,34,6am,48,46,12pm,52,45,6pm,48
Sun, Feb 10,46,12am,48,45,6am,48,48,12pm,54,54,6pm,54
Mon, Feb 11,52,12am,54,52,6am,57,57,12pm,63,61,6pm,63
Tue, Feb 12,64,12am,66,57,6am,66,52,12pm,59,43,6pm,50
Wed, Feb 13,36,12am,39,34,6am,54,52,12pm,57,41,6pm,46
Thu, Feb 14,37,12am,43,43,6am,57,57,12pm,61,55,6pm,57
Fri, Feb 15,57,12am,57,57,6am,63,63,12pm,63,63,6pm,63
Sat, Feb 16,50,12am,63,46,6am,48,46,12pm,48,46,6pm,48
Sun, Feb 17,50,12am,55,55,6am,63,63,12pm,64,48,6pm,59
Mon, Feb 18,43,12am,48,43,6am,48,46,12pm,52,43,6pm,45
Tue, Feb 19,39,12am,43,41,6am,43,41,12pm,43,45,6pm,46
Wed, Feb 20,46,12am,48,50,6am,55,55,12pm,61,57,6pm,61
Thu, Feb 21,55,12am,57,55,6am,59,57,12pm,63,54,6pm,55
Fri, Feb 22,54,12am,55,54,6am,55,55,12pm,61,55,6pm,57
Sat, Feb 23,57,12am,63,63,6am,72,70,12pm,73,70,6pm,73
Sun, Feb 24,55,12am,68,55,6am,57,54,12pm,63,39,6pm,48
Mon, Feb 25,32,12am,39,34,6am,57,57,12pm,61,46,6pm,55
Tue, Feb 26,48,12am,52,52,6am,63,64,12pm,70,55,6pm,63
Wed, Feb 27,55,12am,57,55,6am,68,70,12pm,73,64,6pm,68
Thu, Feb 28,59,12am,64,59,6am,64,64,12pm,68,64,6pm,66
Fri, Mar 1,63,12am,64,61,6am,63,55,12pm,61,52,6pm,54
Sat, Mar 2,46,12am,50,46,6am,52,55,12pm,57,48,6pm,55
Sun, Mar 3,48,12am,50,50,6am,54,43,12pm,52,37,6pm,43
Mon, Mar 4,34,12am,36,32,6am,34,34,12pm,39,30,6pm,34
Tue, Mar 5,25,12am,30,27,6am,39,39,12pm,45,30,6pm,37
Wed, Mar 6,25,12am,28,27,6am,41,41,12pm,46,34,6pm,37
Thu, Mar 7,28,12am,32,34,6am,54,54,12pm,55,54,6pm,55
Fri, Mar 8,54,12am,55,52,6am,68,68,12pm,72,64,6pm,70
Sat, Mar 9,63,12am,64,64,6am,70,12pm,,6pm,
Sun, Mar 10,57,12am,57,57,6am,63,68,12pm,70,55,6pm,64
Mon, Mar 11,55,12am,59,55,6am,61,54,12pm,63,48,6pm,57
Tue, Mar 12,45,12am,46,46,6am,64,66,12pm,72,61,6pm,66
Wed, Mar 13,59,12am,61,61,6am,72,72,12pm,75,68,6pm,72
Thu, Mar 14,66,12am,68,64,6am,72,73,12pm,79,70,6pm,75
Fri, Mar 15,59,12am,70,55,6am,59,59,12pm,64,50,6pm,59
Sat, Mar 16,43,12am,46,43,6am,48,52,12pm,55,43,6pm,52
Sun, Mar 17,37,12am,46,37,6am,57,63,12pm,64,45,6pm,59
Mon, Mar 18,37,12am,45,37,6am,57,57,12pm,63,46,6pm,52
Tue, Mar 19,36,12am,45,34,6am,55,57,12pm,61,39,6pm,55
Wed, Mar 20,39,12am,45,37,6am,61,61,12pm,66,52,6pm,63
Thu, Mar 21,46,12am,54,45,6am,57,59,12pm,66,52,6pm,59
Fri, Mar 22,37,12am,48,37,6am,57,63,12pm,70,46,6pm,64
Sat, Mar 23,39,12am,45,37,6am,64,70,12pm,73,54,6pm,64
Sun, Mar 24,48,12am,59,46,6am,72,72,12pm,75,61,6pm,70
Mon, Mar 25,61,12am,64,59,6am,64,61,12pm,72,57,6pm,64
Tue, Mar 26,52,12am,57,52,6am,52,54,12pm,63,46,6pm,57
Wed, Mar 27,39,12am,48,39,6am,63,66,12pm,72,57,6pm,66
Thu, Mar 28,48,12am,54,48,6am,64,66,12pm,72,52,6pm,68
Fri, Mar 29,48,12am,52,46,6am,70,72,12pm,73,59,6pm,72
Sat, Mar 30,63,12am,64,61,6am,73,73,12pm,75,54,6pm,73
Sun, Mar 31,43,12am,54,39,6am,46,50,12pm,52,39,6pm,46
Mon, Apr 1,34,12am,41,32,6am,55,57,12pm,63,54,6pm,59
Tue, Apr 2,48,12am,54,45,6am,61,61,12pm,64,46,6pm,63
Wed, Apr 3,39,12am,45,41,6am,70,70,12pm,73,57,6pm,70
Thu, Apr 4,48,12am,61,52,6am,64,64,12pm,68,59,6pm,61
Fri, Apr 5,61,12am,61,61,6am,64,68,12pm,73,57,6pm,70
Sat, Apr 6,55,12am,61,59,6am,75,75,12pm,77,63,6pm,73
Sun, Apr 7,63,12am,64,63,6am,75,77,12pm,81,70,6pm,77
Mon, Apr 8,70,12am,72,70,6am,73,70,12pm,77,68,6pm,73
Tue, Apr 9,66,12am,68,64,6am,70,70,12pm,77,57,6pm,72
Wed, Apr 10,54,12am,57,54,6am,79,82,12pm,84,63,6pm,81
Thu, Apr 11,64,12am,68,66,6am,81,82,12pm,82,73,6pm,81
Fri, Apr 12,66,12am,72,66,6am,75,72,12pm,77,64,6pm,70
Sat, Apr 13,61,12am,63,61,6am,68,72,12pm,79,75,6pm,77
Sun, Apr 14,64,12am,73,64,6am,73,55,12pm,70,48,6pm,55
Mon, Apr 15,43,12am,48,43,6am,61,64,12pm,70,52,6pm,66
Tue, Apr 16,48,12am,50,52,6am,72,73,12pm,79,57,6pm,75
Wed, Apr 17,59,12am,63,57,6am,75,75,12pm,79,70,6pm,73
Thu, Apr 18,64,12am,70,64,6am,75,75,12pm,79,63,6pm,73
Fri, Apr 19,61,12am,63,54,6am,61,48,12pm,55,45,6pm,48
Sat, Apr 20,45,12am,46,45,6am,54,55,12pm,63,45,6pm,61
Sun, Apr 21,39,12am,43,41,6am,70,72,12pm,75,54,6pm,73
Mon, Apr 22,50,12am,54,52,6am,75,79,12pm,82,61,6pm,79
Tue, Apr 23,54,12am,57,55,6am,79,79,12pm,82,64,6pm,75
Wed, Apr 24,59,12am,64,61,6am,79,81,12pm,82,70,6pm,79
Thu, Apr 25,64,12am,70,64,6am,73,63,12pm,73,61,6pm,63
Fri, Apr 26,61,12am,63,59,6am,72,72,12pm,75,54,6pm,72
Sat, Apr 27,46,12am,52,48,6am,73,73,12pm,79,68,6pm,73
Sun, Apr 28,63,12am,66,63,6am,75,75,12pm,81,66,6pm,77
Mon, Apr 29,63,12am,66,64,6am,81,82,12pm,86,64,6pm,81
Tue, Apr 30,59,12am,63,63,6am,82,82,12pm,82,73,6pm,81
Wed, May 1,68,12am,73,68,6am,82,84,12pm,86,70,6pm,84
Thu, May 2,66,12am,72,70,6am,82,82,12pm,84,73,6pm,81
Fri, May 3,72,12am,73,72,6am,84,82,12pm,88,70,6pm,81
Sat, May 4,70,12am,72,66,6am,77,70,12pm,81,64,6pm,70
Sun, May 5,64,12am,64,64,6am,70,72,12pm,73,63,6pm,72
Mon, May 6,55,12am,61,57,6am,73,79,12pm,81,63,6pm,79
