group,time,means,stds
non_adapter_step,0.001,2.128630242,5.176665788
non_adapter_step,0.002,1.993070858,5.22913575
non_adapter_step,0.003,1.832332016,5.29268031
non_adapter_step,0.004,1.644423464,5.368566818
non_adapter_step,0.005,1.427346489,5.457981156
non_adapter_step,0.006,1.179128224,5.561956745
non_adapter_step,0.007,0.897852787,5.681317718
non_adapter_step,0.008,0.581692746,5.816634815
non_adapter_step,0.009,0.228948624,5.968174674
non_adapter_step,0.01,-0.161921408,6.135856408
non_adapter_step,0.011,-0.592276298,6.319221708
non_adapter_step,0.012,-1.063250661,6.517403338
non_adapter_step,0.013,-1.575707633,6.729106592
non_adapter_step,0.014,-2.130203535,6.952633273
non_adapter_step,0.015,-2.726945685,7.185930545
non_adapter_step,0.016,-3.365732562,7.426635394
non_adapter_step,0.017,-4.045907446,7.672133856
non_adapter_step,0.018,-4.76634097,7.919656103
non_adapter_step,0.019,-5.525430582,8.166394603
non_adapter_step,0.02,-6.321113281,8.409610924
non_adapter_step,0.021,-7.150905591,8.646719432
non_adapter_step,0.022,-8.011963709,8.875358963
non_adapter_step,0.023,-8.901141666,9.093458638
non_adapter_step,0.024,-9.815039202,9.299283043
non_adapter_step,0.025,-10.75004727,9.491454485
non_adapter_step,0.026,-11.70240148,9.668976553
non_adapter_step,0.027,-12.66824485,9.83124598
non_adapter_step,0.028,-13.64368492,9.978030271
non_adapter_step,0.029,-14.62484635,10.10943546
non_adapter_step,0.03,-15.60791766,10.22587798
non_adapter_step,0.031,-16.58920037,10.32805164
non_adapter_step,0.032,-17.56516838,10.41687874
non_adapter_step,0.033,-18.53252416,10.49345398
non_adapter_step,0.034,-19.48825148,10.55897971
non_adapter_step,0.035,-20.42965028,10.61468823
non_adapter_step,0.036,-21.35434818,10.66178621
non_adapter_step,0.037,-22.26029782,10.70143632
non_adapter_step,0.038,-23.14577299,10.73475223
non_adapter_step,0.039,-24.00936544,10.76279091
non_adapter_step,0.04,-24.84997687,10.78654111
non_adapter_step,0.041,-25.66680664,10.80690347
non_adapter_step,0.042,-26.45932507,10.82466747
non_adapter_step,0.043,-27.22722047,10.84048382
non_adapter_step,0.044,-27.97032368,10.85485363
non_adapter_step,0.045,-28.68854279,10.8681521
non_adapter_step,0.046,-29.38181457,10.88066571
non_adapter_step,0.047,-30.05008199,10.89262539
non_adapter_step,0.048,-30.69328037,10.90421328
non_adapter_step,0.049,-31.31132919,10.91556323
non_adapter_step,0.05,-31.90413765,10.9267733
non_adapter_step,0.051,-32.47163136,10.93792354
non_adapter_step,0.052,-33.01378547,10.9490988
non_adapter_step,0.053,-33.53064461,10.9604124
non_adapter_step,0.054,-34.02232376,10.97201991
non_adapter_step,0.055,-34.48900301,10.98411731
non_adapter_step,0.056,-34.93093385,10.99693534
non_adapter_step,0.057,-35.34843827,11.01072747
non_adapter_step,0.058,-35.74190954,11.02574866
non_adapter_step,0.059,-36.11181613,11.04223104
non_adapter_step,0.06,-36.4587189,11.06035778
non_adapter_step,0.061,-36.78327227,11.08023627
non_adapter_step,0.062,-37.08621069,11.10187726
non_adapter_step,0.063,-37.3683273,11.12518971
non_adapter_step,0.064,-37.63046672,11.14999706
non_adapter_step,0.065,-37.87352188,11.17605168
non_adapter_step,0.066,-38.09844075,11.20304368
non_adapter_step,0.067,-38.30624599,11.23061536
non_adapter_step,0.068,-38.49805051,11.25838549
non_adapter_step,0.069,-38.67505633,11.28595987
non_adapter_step,0.07,-38.83853607,11.31293171
non_adapter_step,0.071,-38.98979176,11.33889694
non_adapter_step,0.072,-39.13012001,11.36348849
non_adapter_step,0.073,-39.26077688,11.38639715
non_adapter_step,0.074,-39.38294588,11.40739377
non_adapter_step,0.075,-39.49770703,11.42635109
non_adapter_step,0.076,-39.60603388,11.44325417
non_adapter_step,0.077,-39.70881514,11.45818799
non_adapter_step,0.078,-39.8068746,11.47130414
non_adapter_step,0.079,-39.90099126,11.48278637
non_adapter_step,0.08,-39.99191275,11.49282347
non_adapter_step,0.081,-40.08034862,11.5015829
non_adapter_step,0.082,-40.16694652,11.50919042
non_adapter_step,0.083,-40.25227035,11.51573901
non_adapter_step,0.084,-40.33678116,11.52129867
non_adapter_step,0.085,-40.42080942,11.52591045
non_adapter_step,0.086,-40.50454047,11.52958626
non_adapter_step,0.087,-40.58803117,11.53233509
non_adapter_step,0.088,-40.67122383,11.53417879
non_adapter_step,0.089,-40.75394581,11.53514882
non_adapter_step,0.09,-40.8359063,11.53527571
non_adapter_step,0.091,-40.91669623,11.53459509
non_adapter_step,0.092,-40.9957718,11.53316741
non_adapter_step,0.093,-41.07242381,11.53109141
non_adapter_step,0.094,-41.14576226,11.5285131
non_adapter_step,0.095,-41.21471386,11.52563414
non_adapter_step,0.096,-41.27803858,11.52270197
non_adapter_step,0.097,-41.33436314,11.51998173
non_adapter_step,0.098,-41.38223614,11.51773899
non_adapter_step,0.099,-41.42017632,11.51623053
non_adapter_step,0.1,-41.44671938,11.51570138
non_adapter_step,0.101,-41.46044668,11.51637164
non_adapter_step,0.102,-41.46002676,11.51843713
non_adapter_step,0.103,-41.44426012,11.52206858
non_adapter_step,0.104,-41.41212315,11.52738561
non_adapter_step,0.105,-41.36279773,11.53442733
non_adapter_step,0.106,-41.29570465,11.54311593
non_adapter_step,0.107,-41.21052198,11.55323288
non_adapter_step,0.108,-41.10718945,11.56440212
non_adapter_step,0.109,-40.9859132,11.57610758
non_adapter_step,0.11,-40.84716746,11.5877362
non_adapter_step,0.111,-40.69167135,11.5986246
non_adapter_step,0.112,-40.52034995,11.60809302
non_adapter_step,0.113,-40.33429933,11.61546719
non_adapter_step,0.114,-40.13476539,11.62009744
non_adapter_step,0.115,-39.92312933,11.6213774
non_adapter_step,0.116,-39.7009011,11.61875761
non_adapter_step,0.117,-39.46969371,11.61176011
non_adapter_step,0.118,-39.23116732,11.60000805
non_adapter_step,0.119,-38.98696204,11.5832624
non_adapter_step,0.12,-38.73863258,11.56144501
non_adapter_step,0.121,-38.48760053,11.5346594
non_adapter_step,0.122,-38.23510426,11.50320068
non_adapter_step,0.123,-37.98215594,11.46753737
non_adapter_step,0.124,-37.72951251,11.42826635
non_adapter_step,0.125,-37.47768031,11.38607085
non_adapter_step,0.126,-37.22693645,11.34168122
non_adapter_step,0.127,-36.97737114,11.2958479
non_adapter_step,0.128,-36.72894624,11.24933102
non_adapter_step,0.129,-36.48155741,11.20289999
non_adapter_step,0.13,-36.23509229,11.15733263
non_adapter_step,0.131,-35.98949683,11.11341422
non_adapter_step,0.132,-35.74482155,11.07191973
non_adapter_step,0.133,-35.50126886,11.03359695
